cache_size,cache_bytes,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
64M,67108864,erdos_renyi,2000,1.0,A,pointer-sharing,46,44,52,43478260.86956522,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,erdos_renyi,2000,1.0,B,copy-based,947283,946826,1025117,2111.301480127903,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,barabasi_albert,2000,0.0,A,pointer-sharing,53,44,53,37735849.056603774,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,barabasi_albert,2000,0.0,B,copy-based,942816,941591,954416,2121.304687234837,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,barabasi_albert,2000,0.25,A,pointer-sharing,50,43,54,40000000.0,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,barabasi_albert,2000,0.25,B,copy-based,940182,938996,941042,2127.2477031042927,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,barabasi_albert,2000,0.5,A,pointer-sharing,45,44,50,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,barabasi_albert,2000,0.5,B,copy-based,958351,940977,973578,2086.9180498585592,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,barabasi_albert,2000,0.75,A,pointer-sharing,45,43,49,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,barabasi_albert,2000,0.75,B,copy-based,943269,942157,945398,2120.285941762106,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,barabasi_albert,2000,1.0,A,pointer-sharing,45,44,52,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
64M,67108864,barabasi_albert,2000,1.0,B,copy-based,947067,946785,975504,2111.783010072149,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_size_bfs/64M/runs/rq1_N2000.stdout.log
