gpu_count,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
4,barabasi_albert,2000,0.5,B,copy-based,942232,940743,945323,2122.619482250656,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,barabasi_albert,2000,0.75,A,pointer-sharing,45,44,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,barabasi_albert,2000,0.75,B,copy-based,972656,937141,1023373,2056.225428106134,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,barabasi_albert,2000,1.0,A,pointer-sharing,45,43,59,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
4,barabasi_albert,2000,1.0,B,copy-based,937940,937430,945649,2132.332558585837,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n4/runs/rq1_N2000.stdout.log
5,erdos_renyi,2000,0.0,A,pointer-sharing,56,53,66,35714285.71428572,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,erdos_renyi,2000,0.0,B,copy-based,978366,949654,1069108,2044.224758423739,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,erdos_renyi,2000,0.25,A,pointer-sharing,44,42,57,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,erdos_renyi,2000,0.25,B,copy-based,950763,949372,970222,2103.573656105675,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,erdos_renyi,2000,0.5,A,pointer-sharing,44,42,57,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,erdos_renyi,2000,0.5,B,copy-based,951454,950478,953484,2102.0459212951964,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,erdos_renyi,2000,0.75,A,pointer-sharing,44,41,48,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,erdos_renyi,2000,0.75,B,copy-based,951757,951641,958599,2101.376716956114,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,erdos_renyi,2000,1.0,A,pointer-sharing,44,43,53,45454545.45454545,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,erdos_renyi,2000,1.0,B,copy-based,948693,948101,976718,2108.163547111658,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,barabasi_albert,2000,0.0,A,pointer-sharing,45,44,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,barabasi_albert,2000,0.0,B,copy-based,947078,945380,988046,2111.758482405884,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,barabasi_albert,2000,0.25,A,pointer-sharing,45,43,51,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,barabasi_albert,2000,0.25,B,copy-based,945250,943655,972656,2115.842369743454,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,barabasi_albert,2000,0.5,A,pointer-sharing,45,44,53,44444444.44444445,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
5,barabasi_albert,2000,0.5,B,copy-based,945678,944628,983588,2114.884770503279,/home/victoryang00/CXLMemSim/artifact/splash_sweep/multigpu_scaling/n5/runs/rq1_N2000.stdout.log
