cache_size,cache_bytes,graph,N,device_fraction,method,method_name,median_us,p25_us,p75_us,throughput_nodes_per_s,log
512K,524288,erdos_renyi,100000,0.5,A,pointer-sharing,8205,7714,8844,12187690.43266301,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/512K/runs/rq1_N100000.stdout.log
512K,524288,erdos_renyi,100000,1.0,A,pointer-sharing,8720,8703,9590,11467889.908256881,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/512K/runs/rq1_N100000.stdout.log
512K,524288,barabasi_albert,100000,0.0,A,pointer-sharing,6417,6304,6753,15583606.046439147,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/512K/runs/rq1_N100000.stdout.log
512K,524288,barabasi_albert,100000,0.5,A,pointer-sharing,5399,5298,5620,18521948.508983146,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/512K/runs/rq1_N100000.stdout.log
512K,524288,barabasi_albert,100000,1.0,A,pointer-sharing,5444,5240,5898,18368846.43644379,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/512K/runs/rq1_N100000.stdout.log
512K,524288,erdos_renyi,50000,0.0,A,pointer-sharing,3245,3092,3526,15408320.493066255,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/512K/runs/rq1_N50000.stdout.log
512K,524288,erdos_renyi,50000,0.5,A,pointer-sharing,3280,3158,3368,15243902.43902439,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/512K/runs/rq1_N50000.stdout.log
512K,524288,erdos_renyi,50000,1.0,A,pointer-sharing,3118,3074,3355,16035920.461834509,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/512K/runs/rq1_N50000.stdout.log
512K,524288,barabasi_albert,50000,0.0,A,pointer-sharing,2045,2039,2371,24449877.750611246,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/512K/runs/rq1_N50000.stdout.log
512K,524288,barabasi_albert,50000,0.5,A,pointer-sharing,2046,2034,2366,24437927.663734116,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/512K/runs/rq1_N50000.stdout.log
512K,524288,barabasi_albert,50000,1.0,A,pointer-sharing,2296,2061,2689,21777003.48432056,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/512K/runs/rq1_N50000.stdout.log
64M,67108864,erdos_renyi,100000,0.0,A,pointer-sharing,5389,5140,6132,18556318.426424198,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/64M/runs/rq1_N100000.stdout.log
64M,67108864,erdos_renyi,100000,0.5,A,pointer-sharing,5099,5036,5385,19611688.566385567,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/64M/runs/rq1_N100000.stdout.log
64M,67108864,erdos_renyi,100000,1.0,A,pointer-sharing,5122,5023,5514,19523623.58453729,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/64M/runs/rq1_N100000.stdout.log
64M,67108864,barabasi_albert,100000,0.0,A,pointer-sharing,5466,5318,5742,18294914.013904136,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/64M/runs/rq1_N100000.stdout.log
64M,67108864,barabasi_albert,100000,0.5,A,pointer-sharing,5448,5426,5986,18355359.765051395,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/64M/runs/rq1_N100000.stdout.log
64M,67108864,barabasi_albert,100000,1.0,A,pointer-sharing,5418,5365,5638,18456995.201181248,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/64M/runs/rq1_N100000.stdout.log
64M,67108864,erdos_renyi,50000,0.0,A,pointer-sharing,4402,3982,4607,11358473.421172194,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/64M/runs/rq1_N50000.stdout.log
64M,67108864,erdos_renyi,50000,0.5,A,pointer-sharing,4065,3935,4395,12300123.001230013,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/64M/runs/rq1_N50000.stdout.log
64M,67108864,erdos_renyi,50000,1.0,A,pointer-sharing,4143,4103,4498,12068549.360366885,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/64M/runs/rq1_N50000.stdout.log
64M,67108864,barabasi_albert,50000,0.0,A,pointer-sharing,2017,2002,2461,24789291.026276648,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/64M/runs/rq1_N50000.stdout.log
64M,67108864,barabasi_albert,50000,0.5,A,pointer-sharing,2791,2590,2883,17914725.90469366,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/64M/runs/rq1_N50000.stdout.log
64M,67108864,barabasi_albert,50000,1.0,A,pointer-sharing,2399,2344,2605,20842017.507294707,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/64M/runs/rq1_N50000.stdout.log
8M,8388608,erdos_renyi,100000,0.0,A,pointer-sharing,6125,6050,7073,16326530.612244898,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/8M/runs/rq1_N100000.stdout.log
8M,8388608,erdos_renyi,100000,0.5,A,pointer-sharing,7043,6943,7655,14198494.95953429,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/8M/runs/rq1_N100000.stdout.log
8M,8388608,erdos_renyi,100000,1.0,A,pointer-sharing,6683,6579,7574,14963339.817447254,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/8M/runs/rq1_N100000.stdout.log
8M,8388608,barabasi_albert,100000,0.0,A,pointer-sharing,5431,5409,5980,18412815.319462344,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/8M/runs/rq1_N100000.stdout.log
8M,8388608,barabasi_albert,100000,0.5,A,pointer-sharing,5294,5185,5653,18889308.651303362,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/8M/runs/rq1_N100000.stdout.log
8M,8388608,barabasi_albert,100000,1.0,A,pointer-sharing,5408,5396,5831,18491124.26035503,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/8M/runs/rq1_N100000.stdout.log
8M,8388608,erdos_renyi,50000,0.0,A,pointer-sharing,3018,2632,3345,16567263.088137839,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/8M/runs/rq1_N50000.stdout.log
8M,8388608,erdos_renyi,50000,0.5,A,pointer-sharing,2663,2608,3587,18775816.74802854,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/8M/runs/rq1_N50000.stdout.log
8M,8388608,erdos_renyi,50000,1.0,A,pointer-sharing,2652,2599,2826,18853695.32428356,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/8M/runs/rq1_N50000.stdout.log
8M,8388608,barabasi_albert,50000,0.0,A,pointer-sharing,2310,2236,2377,21645021.645021643,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/8M/runs/rq1_N50000.stdout.log
8M,8388608,barabasi_albert,50000,0.5,A,pointer-sharing,2105,2056,2405,23752969.12114014,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/8M/runs/rq1_N50000.stdout.log
8M,8388608,barabasi_albert,50000,1.0,A,pointer-sharing,2240,2061,2557,22321428.57142857,/home/victoryang00/CXLMemSim/artifact/splash_sweep/cache_fraction_bfs/8M/runs/rq1_N50000.stdout.log
